"Datum und Uhrzeit","PH Theater","PP Hörsterplatz","PH Alter Steinweg",Busparkplatz,"PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"2020-11-27 00:00",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 00:15",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 00:30",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 00:45",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 01:00",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 01:15",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 01:30",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 01:45",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 02:00",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 02:15",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 02:30",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 02:45",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 03:00",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 03:15",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 03:30",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 03:45",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 04:00",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 04:15",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 04:30",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 04:45",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 05:00",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 05:15",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 05:30",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 05:45",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:00",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:05",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:10",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:15",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:20",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:25",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:30",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:35",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:40",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:45",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:50",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 06:55",664,0,355,0,0,6,607,19,97,156,291,239,434,285,535,172
"2020-11-27 07:00",663,14,353,0,0,6,605,19,97,156,291,237,432,283,534,169
"2020-11-27 07:05",651,168,341,30,148,233,684,140,11,157,279,222,416,264,530,146
"2020-11-27 07:10",648,172,339,30,148,233,679,156,11,158,279,221,412,263,529,144
"2020-11-27 07:15",645,172,338,32,148,233,675,156,11,159,278,220,409,262,528,141
"2020-11-27 07:20",628,177,327,34,170,259,652,170,6,153,270,215,392,255,522,134
"2020-11-27 07:25",624,178,324,34,170,258,646,169,5,152,269,214,386,253,521,132
"2020-11-27 07:30",621,177,323,34,170,257,642,169,15,151,267,213,384,251,520,131
"2020-11-27 07:35",617,175,320,34,170,256,636,169,14,150,264,212,379,249,517,129
"2020-11-27 07:40",614,173,317,34,170,255,631,168,24,149,262,210,374,247,515,126
"2020-11-27 07:45",610,171,315,33,170,254,625,168,22,148,260,210,370,246,514,124
"2020-11-27 07:50",605,167,311,33,171,254,620,167,54,145,258,208,365,244,512,121
"2020-11-27 07:55",600,165,309,33,171,253,613,166,86,143,255,207,358,242,510,118
"2020-11-27 08:00",594,162,306,33,171,251,607,165,129,143,252,207,353,240,509,116
"2020-11-27 08:05",589,159,303,32,171,250,600,165,140,141,250,206,347,237,507,114
"2020-11-27 08:10",583,157,298,32,171,248,593,164,140,139,248,204,342,236,506,112
"2020-11-27 08:15",577,155,295,32,171,247,586,163,140,138,245,203,337,234,504,111
"2020-11-27 08:20",573,153,292,32,171,245,580,163,140,137,242,201,331,232,502,110
"2020-11-27 08:25",567,151,290,31,171,243,574,162,140,136,238,199,324,230,501,109
"2020-11-27 08:30",563,149,286,31,171,240,566,161,139,135,234,199,318,228,500,107
"2020-11-27 08:35",559,147,282,31,170,236,559,160,138,133,232,199,312,226,499,106
"2020-11-27 08:40",554,145,279,31,171,233,554,159,136,131,230,197,308,224,497,104
"2020-11-27 08:45",551,143,276,30,203,261,549,158,134,129,227,197,303,221,495,104
"2020-11-27 08:50",545,139,271,30,300,257,542,157,131,128,224,195,299,219,493,102
"2020-11-27 08:55",540,136,267,37,300,304,535,190,127,127,220,193,294,217,491,102
