"Datum und Uhrzeit","PH Theater","PP Hörsterplatz","PH Alter Steinweg",Busparkplatz,"PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"2020-11-28 00:00",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 00:15",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 00:30",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 00:45",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 01:00",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 01:15",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 01:30",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 01:45",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 02:00",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 02:15",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 02:30",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 02:45",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 03:00",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 03:15",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 03:30",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 03:45",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 04:00",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 04:15",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 04:30",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 04:45",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 05:00",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 05:15",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 05:30",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 05:45",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:00",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:05",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:10",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:15",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:20",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:25",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:30",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:35",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:40",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:45",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:50",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 06:55",665,0,356,0,0,6,599,20,93,156,291,239,433,285,530,172
"2020-11-28 07:00",663,15,354,0,0,6,597,20,93,156,291,237,432,283,530,169
"2020-11-28 07:05",651,166,341,30,144,221,685,131,12,157,278,222,417,265,526,147
"2020-11-28 07:10",648,170,339,30,145,221,680,148,12,158,278,221,413,264,525,144
"2020-11-28 07:15",645,170,338,31,145,220,675,149,12,159,278,220,409,263,524,142
"2020-11-28 07:20",627,175,326,34,168,248,650,164,6,153,269,214,392,255,518,134
"2020-11-28 07:25",623,177,324,34,168,247,645,163,5,152,267,214,386,254,517,132
"2020-11-28 07:30",620,176,322,34,168,247,640,163,16,151,266,213,384,252,515,131
"2020-11-28 07:35",616,173,319,34,168,245,634,162,15,150,263,212,379,249,513,129
"2020-11-28 07:40",612,172,316,33,168,244,629,162,25,149,261,210,375,247,511,127
"2020-11-28 07:45",609,169,313,33,168,243,623,161,24,147,259,209,371,246,509,124
"2020-11-28 07:50",604,166,310,33,168,243,619,161,58,145,257,208,366,244,507,122
"2020-11-28 07:55",598,163,308,33,168,242,611,160,81,143,254,207,359,243,506,119
"2020-11-28 08:00",593,160,305,32,168,240,605,159,127,142,251,207,354,240,504,117
"2020-11-28 08:05",587,157,301,32,168,239,598,159,139,140,249,205,348,238,503,115
"2020-11-28 08:10",581,155,296,32,168,237,591,158,139,139,247,204,343,236,502,113
"2020-11-28 08:15",575,153,293,31,168,236,585,157,139,138,244,203,338,235,500,112
"2020-11-28 08:20",571,151,291,31,168,234,578,156,139,136,242,201,332,233,498,111
"2020-11-28 08:25",565,149,288,31,169,232,572,156,139,136,238,199,326,231,497,110
"2020-11-28 08:30",561,147,284,31,169,229,564,155,138,134,234,199,319,228,496,108
"2020-11-28 08:35",557,146,280,31,168,225,557,154,137,132,232,199,314,227,495,107
"2020-11-28 08:40",552,143,277,30,168,222,552,153,136,130,230,197,309,225,493,105
"2020-11-28 08:45",549,141,275,30,203,253,547,152,134,129,226,197,304,222,491,104
"2020-11-28 08:50",543,138,269,29,307,248,539,151,130,127,223,195,300,219,489,103
"2020-11-28 08:55",538,134,265,38,307,299,532,186,127,127,219,193,296,218,487,102
"2020-11-28 09:00",531,128,261,42,296,312,526,221,124,125,214,192,291,216,485,101
"2020-11-28 09:05",527,124,256,43,296,308,520,220,120,123,211,191,287,215,484,101
"2020-11-28 09:10",523,120,251,44,296,315,512,219,115,121,207,190,283,214,484,101
"2020-11-28 09:15",520,116,247,44,296,325,507,217,111,119,203,190,279,212,483,101
"2020-11-28 09:20",517,111,240,44,297,320,499,216,107,116,197,190,275,211,483,101
"2020-11-28 09:25",512,106,233,43,297,315,491,215,103,112,192,190,272,209,483,100
"2020-11-28 09:30",508,100,224,43,297,309,483,214,97,107,185,189,269,207,483,101
"2020-11-28 09:35",502,95,215,43,321,304,471,212,90,102,179,187,264,205,483,101
"2020-11-28 09:40",497,87,204,42,321,298,463,211,81,97,173,185,258,203,482,101
"2020-11-28 09:45",492,81,194,43,321,294,455,209,75,92,166,184,254,201,482,101
"2020-11-28 09:50",484,72,182,42,321,289,442,207,66,87,158,182,246,200,480,103
"2020-11-28 09:55",476,62,168,42,321,282,427,205,56,83,150,180,241,196,480,102
"2020-11-28 10:00",467,50,154,41,322,275,416,200,46,77,143,179,235,193,480,102
"2020-11-28 10:05",459,38,139,41,332,268,401,199,36,71,135,177,230,191,480,103
"2020-11-28 10:10",448,29,124,40,332,263,385,197,28,65,127,176,225,188,480,104
"2020-11-28 10:15",441,23,110,39,333,256,371,194,19,60,122,174,219,186,480,103
"2020-11-28 10:20",434,17,95,38,333,248,362,193,15,56,115,173,213,184,480,104
"2020-11-28 10:25",426,13,84,38,333,241,350,190,10,50,110,172,207,182,480,104
"2020-11-28 10:30",420,11,74,37,333,235,341,188,7,47,103,170,202,181,480,104
"2020-11-28 10:35",415,7,65,37,334,236,331,186,5,43,99,170,199,179,480,104
"2020-11-28 10:40",407,6,56,37,334,231,321,184,2,39,94,169,194,177,480,103
"2020-11-28 10:45",402,5,50,36,335,237,315,183,1,37,91,168,189,176,480,103
"2020-11-28 10:50",396,6,45,36,334,229,305,181,0,35,86,167,185,175,480,103
"2020-11-28 10:55",388,5,38,35,335,222,298,179,1,32,82,167,181,174,480,103
"2020-11-28 11:00",382,5,33,35,335,214,289,176,0,31,78,166,177,172,480,103
"2020-11-28 11:05",377,4,29,35,335,214,281,176,1,30,81,165,174,171,480,103
"2020-11-28 11:10",371,4,25,34,336,209,277,175,1,28,75,164,172,170,480,103
"2020-11-28 11:15",365,3,23,33,337,204,270,174,1,28,71,165,170,170,480,102
"2020-11-28 11:20",359,4,21,33,337,198,265,174,1,25,66,165,169,170,480,103
"2020-11-28 11:25",356,4,18,33,335,193,261,173,1,26,66,166,168,169,480,102
"2020-11-28 11:30",353,4,18,32,334,188,259,172,1,24,65,165,168,167,480,102
"2020-11-28 11:35",350,4,18,32,332,184,255,171,1,22,65,165,167,167,480,102
"2020-11-28 11:40",349,5,18,31,333,179,253,170,2,23,64,164,165,167,480,100
"2020-11-28 11:45",349,7,18,32,333,175,252,169,1,24,63,164,166,167,480,100
"2020-11-28 11:50",348,7,20,31,333,171,249,169,2,25,62,163,166,166,480,100
"2020-11-28 11:55",351,6,22,31,334,166,245,169,3,25,60,163,164,166,479,99
"2020-11-28 12:00",352,6,25,30,334,162,245,169,1,25,60,163,166,167,479,99
"2020-11-28 12:05",354,7,27,31,334,156,244,169,2,25,61,163,166,167,480,99
"2020-11-28 12:10",354,9,27,31,334,163,245,169,1,27,61,163,168,167,480,99
"2020-11-28 12:15",358,10,33,30,336,159,246,169,2,26,62,163,171,168,480,99
